Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,
Rice,2010.0,Rabi       ,Uttarakhand,15277.0,50503.0,1419.0,2537662.47,3666.48,2.25,
Rice,2011.0,Kharif     ,Uttarakhand,261319.0,544497.0,1564.7,43776158.88,86235.27,1.684615385,
Rice,2011.0,Summer     ,Uttarakhand,13680.0,45267.0,1564.7,2291673.6,4514.4,3.31,
Rice,2012.0,Kharif     ,Uttarakhand,255037.0,561339.0,1309.8,38459579.6,79061.47,1.750769231,
Rice,2012.0,Summer     ,Uttarakhand,14200.0,45552.0,1309.8,2141360.0,4402.0,3.21,
Rice,2013.0,Kharif     ,Uttarakhand,246959.0,551758.0,1735.4,35683105.91,66678.93,1.736153846,
Rice,2013.0,Summer     ,Uttarakhand,12420.0,41310.0,1735.4,1794565.8,3353.4,3.353333333,
Rice,2014.0,Kharif     ,Uttarakhand,247698.0,561856.0,1287.4,37392490.08,81740.34,1.738461538,
Rice,2014.0,Summer     ,Uttarakhand,12394.0,39004.0,1287.4,1870998.24,4090.02,3.15,
Rice,2015.0,Kharif     ,Uttarakhand,252163.0,591755.0,1247.6,39819059.33,83213.79,1.795384615,
Rice,2015.0,Summer     ,Uttarakhand,13043.0,50137.0,1247.6,2059620.13,4304.19,3.81,
Rice,2016.0,Kharif     ,Uttarakhand,251498.0,582720.0,1580.9,38542068.5,88024.3,1.779230769,
Rice,2016.0,Summer     ,Uttarakhand,14703.0,55577.0,1580.9,2253234.75,5146.05,3.77,
Rice,2017.0,Kharif     ,Uttarakhand,246539.0,620027.0,1475.8,38815100.16,93684.82,1.909230769,
Rice,2017.0,Summer     ,Uttarakhand,13953.0,44845.0,1475.8,2196760.32,5302.14,3.223333333,
Rice,2018.0,Kharif     ,Uttarakhand,243666.0,574963.0,1373.0,39522625.2,85283.1,1.804615385,
Rice,2018.0,Summer     ,Uttarakhand,15682.0,51570.0,1373.0,2543620.4,5488.7,3.283333333,
Rice,2019.0,Kharif     ,Uttarakhand,240411.0,615514.0,1378.9,41292993.36,88952.07,1.933846154,
Rice,2019.0,Summer     ,Uttarakhand,17370.0,61915.0,1378.9,2983471.2,6426.9,3.563333333,
Rice,2020.0,Kharif     ,Uttarakhand,241936.0,669372.0,1313.947826,46841228.96,89516.32,2.093076923,
Rice,2020.0,Summer     ,Uttarakhand,15315.0,55057.0,1313.947826,2965137.15,5666.55,3.563333333,
Rice,1997.0,Kharif     ,Punjab,2281000.0,7904000.0,690.1,217082770.0,707110.0,3.476470588,
Rice,1998.0,Kharif     ,Punjab,2519000.0,7940000.0,588.6,248877200.0,730510.0,3.099411765,
Rice,1999.0,Kharif     ,Punjab,2604000.0,8716000.0,364.4,276362520.0,703080.0,3.332352941,
Rice,2000.0,Kharif     ,Punjab,2611000.0,9154000.0,405.3,256321870.0,678860.0,3.501764706,
Rice,2001.0,Kharif     ,Punjab,2487000.0,8816000.0,479.3,253997310.0,646620.0,3.517058824,
Rice,2002.0,Kharif     ,Punjab,2530000.0,8880000.0,301.8,239515100.0,632500.0,3.438823529,
Rice,2003.0,Kharif     ,Punjab,2614000.0,9656000.0,451.7,258733720.0,627360.0,3.678235294,
Rice,2004.0,Kharif     ,Punjab,2800000.0,10437000.0,366.4,303352000.0,588000.0,3.788823529,
Rice,2005.0,Kharif     ,Punjab,2642000.0,10193000.0,566.7,316828640.0,554820.0,3.820588235,
Rice,2006.0,Kharif     ,Punjab,2621000.0,10138000.0,569.6,334727910.0,576620.0,3.75,
Rice,2007.0,Kharif     ,Punjab,2610000.0,10489000.0,527.2,348174000.0,417600.0,3.968,
Rice,2008.0,Kharif     ,Punjab,2735000.0,11000000.0,691.3,391214400.0,246150.0,3.9855,
Rice,2009.0,Kharif     ,Punjab,2802000.0,11236000.0,371.3,436607640.0,476340.0,3.9775,
Rice,2010.0,Kharif     ,Punjab,2831000.0,10837000.0,392.7,470257410.0,679440.0,3.834,
Rice,2011.0,Kharif     ,Punjab,2818000.0,10542000.0,705.2,472071360.0,929940.0,3.7495,
Rice,2012.0,Kharif     ,Punjab,2849000.0,11390000.0,338.9,429629200.0,883190.0,3.923636364,
Rice,2013.0,Kharif     ,Punjab,2851000.0,11267000.0,586.6,411940990.0,769770.0,3.834090909,
Rice,2014.0,Kharif     ,Punjab,2894000.0,11107000.0,382.7,436878240.0,955020.0,3.728181818,
Rice,2015.0,Kharif     ,Punjab,2975000.0,11823000.0,512.6,469782250.0,981750.0,3.923181818,
Rice,2016.0,Kharif     ,Punjab,3046000.0,12638000.0,635.9,466799500.0,1066100.0,4.066818182,
Rice,2017.0,Kharif     ,Punjab,3065000.0,13382000.0,497.5,482553600.0,1164700.0,4.252727273,
Rice,2018.0,Kharif     ,Punjab,3103000.0,12822000.0,585.5,503306600.0,1086050.0,4.011818182,
Rice,2019.0,Kharif     ,Punjab,3142000.0,12675000.0,653.2,539669920.0,1162540.0,3.930909091,
Rice,1998.0,Kharif     ,Haryana,1086694.0,2432000.0,687.6,107365367.2,315141.26,2.286666667,
Rice,1999.0,Kharif     ,Haryana,1083052.0,2563000.0,344.0,114944308.8,292424.04,2.235,
Rice,2000.0,Kharif     ,Haryana,1054282.0,2695000.0,383.7,103498863.9,274113.32,2.443157895,
Rice,2001.0,Kharif     ,Haryana,1027505.0,2726000.0,483.8,104939085.6,267151.3,2.645555556,
Rice,2002.0,Kharif     ,Haryana,905651.0,2468000.0,353.9,85737980.17,226412.75,2.495,
Rice,2003.0,Kharif     ,Haryana,1015191.0,2790000.0,592.3,100483605.2,243645.84,2.733333333,
Rice,2004.0,Kharif     ,Haryana,1024236.0,3010000.0,484.6,110965728.2,215089.56,2.832777778,
Rice,2005.0,Kharif     ,Haryana,1046588.0,3194000.0,516.9,125506833.0,219783.48,2.940526316,
Rice,2006.0,Kharif     ,Haryana,1042036.0,3371000.0,329.3,133078417.6,229247.92,2.8545,
Rice,2007.0,Kharif     ,Haryana,1072545.0,3606000.0,443.8,143077503.0,171607.2,3.191578947,
Rice,2008.0,Kharif     ,Haryana,1211149.0,3299000.0,715.6,173242753.0,109003.41,2.569,
Rice,2009.0,Kharif     ,Haryana,1206435.0,3628000.0,393.0,187986701.7,205093.95,2.673809524,
Rice,2010.0,Kharif     ,Haryana,1243281.0,3465000.0,639.2,206521406.9,298387.44,2.561428571,
Rice,2011.0,Kharif     ,Haryana,1234094.0,3574300.0,471.5409091,206735426.9,407251.02,2.63047619,
Rice,2012.0,Kharif     ,Haryana,1206255.0,3941000.0,307.9,181903254.0,373939.05,3.041,
Rice,2013.0,Kharif     ,Haryana,1244000.0,4041000.0,452.2,179745560.0,335880.0,3.112,
Rice,2014.0,Kharif     ,Haryana,1277000.0,3989000.0,301.3,192775920.0,421410.0,2.9465,
Rice,2015.0,Kharif     ,Haryana,1353000.0,4142000.0,426.8,213652230.0,446490.0,2.963,
Rice,2016.0,Kharif     ,Haryana,1384700.0,4451000.0,554.7,212205275.0,484645.0,2.9505,
Rice,2017.0,Kharif     ,Haryana,1422100.0,4880000.0,417.1,223895424.0,540398.0,3.096190476,
Rice,2018.0,Kharif     ,Haryana,1447000.0,4516000.0,533.2,234703400.0,506450.0,2.94952381,
Rice,2019.0,Kharif     ,Haryana,1558900.0,5194600.0,351.8,267756664.0,576793.0,3.048095238,
Rice,1997.0,Kharif     ,Haryana,913000.0,2556000.0,661.2,86890210.0,283030.0,2.730588235,
